Data;QuantidadePerdida;SetorProduto;CategoriaProduto;NomeProdutoCompleto;PrecoVenda;Fornecedor;PrecoCusto;TipoPerda;Produto;AcaoReducaoPerda;CustoReducaoPerda;Loja;Ano;NomeMes;NomeDia;ValorTotalPerdaVenda;ValorTotalPerdaCusto
2024-01-10;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;janeiro;quarta-feira;104.85000000000001;60.0
2024-11-26;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;novembro;terça-feira;209.70000000000002;120.0
2024-12-22;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;dezembro;domingo;209.70000000000002;120.0
2024-09-04;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;setembro;quarta-feira;419.40000000000003;240.0
2024-08-08;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;agosto;quinta-feira;209.70000000000002;120.0
2024-06-14;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;junho;sexta-feira;314.55;180.0
2024-03-29;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;março;sexta-feira;524.25;300.0
2024-06-26;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;junho;quarta-feira;104.85000000000001;60.0
2024-05-23;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;maio;quinta-feira;314.55;180.0
2024-01-20;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;janeiro;sábado;524.25;300.0
2024-12-05;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;dezembro;quinta-feira;209.70000000000002;120.0
2024-02-09;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;fevereiro;sexta-feira;314.55;180.0
2024-03-03;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;março;domingo;104.85000000000001;60.0
2024-10-11;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;outubro;sexta-feira;104.85000000000001;60.0
2024-01-21;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;janeiro;domingo;524.25;300.0
2024-02-26;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;fevereiro;segunda-feira;419.40000000000003;240.0
2024-02-23;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;fevereiro;sexta-feira;314.55;180.0
2024-01-04;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;janeiro;quinta-feira;104.85000000000001;60.0
2024-08-28;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;agosto;quarta-feira;314.55;180.0
2024-10-24;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;outubro;quinta-feira;419.40000000000003;240.0
